BBIP_ID,Title,Author,Date,total_words,total_sents,topic_words,topic_sents,religion_words,religion_sents,violence_words,violence_sents,music_words,music_sents,alt_BBIP_IDs,Coll_40_books
60003581,To Saint Patrick,"Imasuen, Eghosa",2008,55810,4360,383,351,100,98,207,191,76,74,,
60003575,Ambiguous Adventure,"Kane, Cheikh Hamidou",1961,43410,3079,411,364,280,248,82,82,49,48,,
60003747,Counternarratives,"Keene, John",2015,105147,3957,712,525,320,259,194,162,198,158,,
60003323,Time of the Locust,"Yejide, Morowa",2014,80190,5174,438,400,119,113,223,210,96,91,,
60003111,Caul Baby,"Jerkins, Morgan",2021,95681,7840,380,345,129,117,158,154,93,86,60001957.0,
60000935,The Autobiography of an Ex-Colored Man,"Johnson, James Weldon",1912,60165,2616,552,397,129,112,59,56,364,265,60000217.0,
60003912,Bacchanal,"Henry, Veronica G.",2021,106551,8826,556,521,182,177,224,215,150,141,,
60003778,The River Between,"Thiong'o, Ngugi wa",1965,49818,4649,475,412,260,231,123,116,92,78,,
60003116,Remote Control,"Okorafor, Nnedi",2020,34441,3188,193,180,111,106,58,54,24,25,,
60003324,The Polygamist,"Nyathi, Sue",2012,56559,5007,272,258,100,97,101,99,71,70,,
60003740,And They Lived Happily Ever After: A Magical Ownvoices Romcom,"Beharrie, Therese",2021,91711,9834,302,288,75,73,133,131,94,92,,
60003572,Looking Up,"Eyeson, Abena",2019,46554,3862,236,203,151,127,39,39,46,42,,
60003586,Sardines,"Farah, Nuruddin",1981,98944,7298,571,479,246,201,186,177,139,123,,
60003915,Where Do I Go From Here?,"Wesley, Valerie Wilson",1993,36351,3058,152,142,38,37,67,66,47,45,,
60002833,A Touch Away,"Louise, Kim",2001,85884,8087,310,292,87,85,95,94,128,117,,
60003776,Houseboy,"Oyono, Ferdinand",1960,38035,3585,187,170,98,88,44,44,45,41,,
60003544,Heads of the Colored People: Stories,"Thompson-Spires, Nafissa",2018,53415,2920,347,293,114,98,130,118,103,98,,
60003120,This Close to Okay,"Cross-Smith, Leesa",2021,88859,8193,401,374,131,126,163,154,107,103,,
60003312,Brooding Clouds,"Mpe, Phaswane",2008,46194,2603,397,305,114,96,194,173,89,67,,
60002006,God Sends Sunday,"Bontemps, Arna Wendell",1972,34394,2668,241,218,42,40,61,59,138,126,,Y
60003782,A Sitting in St. James,"Garcia, Rita Williams",2021,110553,11166,746,667,227,206,219,209,300,275,,
60003923,Have We Met?,"Baker, Camille",2021,82169,7306,355,331,78,78,96,95,181,166,,
60003749,The Translator,"Aboulela, Leila",1999,62935,4796,435,358,300,244,75,68,60,57,,
60002805,Night Journey: A Novel,"Kalam, Murad",2003,97754,8060,737,612,337,285,236,203,164,143,,
60003785,Where the Rain Cannot Reach,"Brown, Adesina",2021,97472,5917,486,428,63,58,313,277,110,103,,
60003315,The Ones Who Don't Say They Love You,"Ruffin, Maurice Carlos",2021,41781,3946,181,170,43,41,75,72,63,59,,
60003127,We Need New Names,"Bulawayo, NoViolet",2013,79331,4761,622,492,189,160,203,182,230,196,,
60003543,Yesterday is History,"Jackson, Kosoko",2021,67400,7064,260,253,66,67,92,91,102,101,,
60003771,The Old Man and the Medal,"Oyono, Ferdinand",1956,47332,3852,308,273,179,153,79,77,50,48,,
60002802,These Ghosts Are Family,"Card, Maisy",2020,95040,6661,488,440,221,201,199,193,68,62,,
60003924,Grown,"Jackson, Tiffany D.",2020,64265,8459,467,441,66,65,131,128,270,253,,
60003118,Tail of the Blue Bird,"Parkes, Nii Ayikwei",2009,54030,4199,251,227,62,61,111,102,78,71,,
60002856,Black Ulysses,"Panger, Daniel",1982,136433,7124,1300,1105,589,514,588,530,123,111,,
60003984,The Poet X,"Acevedo, Elizabeth",2018,33282,2764,296,261,143,131,48,49,105,93,,
60003528,100 Boyfriends,"Purnell, Brontez",2021,40710,2522,262,234,86,80,89,87,87,79,,
60003970,That Reminds Me,"Owusu, Derek",2019,20222,965,169,128,57,50,47,41,65,55,,
60003173,Body and Soul Food,"Collette, Abby",2021,90383,9818,375,357,118,116,174,169,83,78,,
60003725,Late Arcade,"Mackey, Nathaniel",2017,67539,2817,703,521,71,65,72,65,560,423,,
60003517,White Teeth,"p'Bitek, Okot",1989,36495,2646,239,200,68,67,83,73,88,66,,
